# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       2.765861792656e-01       6.809138738829e+05       6.774519413875e+05       1.907386639009e+00       1.741400964016e+00       0.000000000000e+00       6.801620262133e+05 
       2.797225028830e-01       6.685978410892e+05       6.651400296933e+05       1.842079370343e+00       1.689457924024e+00       0.000000000000e+00       6.678503813458e+05 
       2.828588274160e-01       6.568650044981e+05       6.534255085780e+05       1.781963881562e+00       1.635445913677e+00       0.000000000000e+00       6.561239906344e+05 
       2.859951528341e-01       6.457638808924e+05       6.423586628666e+05       1.662555506107e+00       1.568861136314e+00       0.000000000000e+00       6.450316345464e+05 
       2.891314791084e-01       6.353071860067e+05       6.319521941192e+05       1.672268540168e+00       1.519564384460e+00       0.000000000000e+00       6.345860227888e+05 
       2.922678062113e-01       6.254681690541e+05       6.221777643415e+05       1.581536053432e+00       1.453179622690e+00       0.000000000000e+00       6.247601627528e+05 
       2.954041341161e-01       6.161869561147e+05       6.129726463230e+05       1.420092178044e+00       1.398071907830e+00       0.000000000000e+00       6.154937494404e+05 
       2.985404627975e-01       6.073892594222e+05       6.042587788891e+05       1.423462825028e+00       1.326781028828e+00       0.000000000000e+00       6.067119235263e+05 
       3.016767922310e-01       5.989738034866e+05       5.959307281477e+05       1.404653441914e+00       1.303120774054e+00       0.000000000000e+00       5.983127854591e+05 
       3.048131223935e-01       5.908393287503e+05       5.878830446699e+05       1.342311197499e+00       1.244431505318e+00       0.000000000000e+00       5.901944466665e+05 
       3.079494532625e-01       5.828891921964e+05       5.800152727721e+05       1.287105042176e+00       1.216138717431e+00       0.000000000000e+00       5.822596931347e+05 
       3.110857848165e-01       5.750406898477e+05       5.722415809971e+05       1.241559527489e+00       1.172112666703e+00       0.000000000000e+00       5.744253535223e+05 
       3.142221170349e-01       5.672259378330e+05       5.644918836231e+05       1.258268372625e+00       1.150067520494e+00       0.000000000000e+00       5.666232178600e+05 
       3.173584498979e-01       5.593970104182e+05       5.567170848597e+05       1.182329711849e+00       1.093310872957e+00       0.000000000000e+00       5.588051906744e+05 
       3.204947833865e-01       5.515334324894e+05       5.488965508308e+05       1.100081009843e+00       1.061713992023e+00       0.000000000000e+00       5.509507780758e+05 
       3.236311174824e-01       5.436345625774e+05       5.410304342431e+05       1.098752349216e+00       1.021011441236e+00       0.000000000000e+00       5.430594638380e+05 
       3.267674521681e-01       5.357151560292e+05       5.331350795974e+05       1.036494968147e+00       9.908027438695e-01       0.000000000000e+00       5.351462490230e+05 
